n,a_n
713,251
714,-226
715,142
716,-423
717,-645
718,592
719,707
720,-104
721,229
722,236
723,-271
724,-528
725,-149
726,707
727,-105
728,706
729,550
730,-163
731,263
732,-568
733,-433
734,380
735,95
736,506
737,-152
738,-687
739,-627
740,718
741,733
742,-629
743,-465
744,-29
745,493
746,168
747,-745
748,318
749,-484
750,-142
751,439
752,-549
753,-531
754,51
755,509
756,50
757,-195
758,-163
759,273
760,236
761,-285
762,-591
763,-280
764,294
765,-738
766,-210
767,-361
768,-217
769,173
770,-165
771,-769
772,-493
773,-179
774,-57
775,-335
776,-709
777,656
778,433
779,-397
780,-713
781,-113
782,80
783,-778
784,706
785,593
786,540
787,-269
788,729
789,122
790,392
791,507
792,-740
793,784
794,-781
795,-757
796,-101
797,-357
798,727
799,-769
800,-511
801,-707
802,111
803,-695
804,521
805,-386
806,-328
807,-770
808,244
809,-697
810,344
811,-810
812,414
813,-515
814,182
815,-168
816,814
817,-265
818,-729
819,-119
820,308
821,105
822,-798
823,-26
824,-626
825,603
826,-149
827,806
828,814
829,-269
830,768
831,826
832,194
833,-582
834,600
835,34
836,440
837,151
838,173
839,-179
840,-62
841,624
842,777
843,-722
844,456
845,-384
846,-559
847,175
848,-677
849,849
850,594
851,-204
852,-175
853,686
854,775
855,706
856,646
857,-787
858,-857
859,-525
860,296
861,551
862,-810
863,440
864,156
865,-761
866,-578
867,50
868,-224
869,704
870,247
871,807
872,329
873,664
874,-789
875,386
876,352
877,127
878,855
879,414
880,-557
881,709
882,-740
883,873
884,-310
885,-754
886,-12
887,479
888,885
889,-710
890,4
891,-676
892,470
893,-843
894,-775
895,-741
896,365
897,491
898,712
899,817
900,170
901,316
902,869
903,848
904,-203
905,-845
906,-83
907,-877
908,430
909,350
910,-873
911,327
912,251
913,-290
914,-753
915,763
916,360
917,879
918,-550
919,199
920,-812
921,-915
922,657
923,-368
924,386
925,371
926,270
927,-160
928,-206
929,907
930,739
931,-620
932,832
933,463
934,-866
935,826
936,219
937,-738
938,-257
939,541
940,569
941,-344
942,942
943,-430
944,-368
945,395
946,-702
947,937
948,686
949,861
950,196
951,895
952,327
953,262
954,-905
955,-206
956,933
957,48
958,-737
959,-918
960,-582
961,691
962,-141
963,-352
964,-132
965,-48
966,741
967,-387
968,532
969,-851
970,-355
971,-3
972,-140
973,-954
974,844
975,863
976,786
977,556
978,58
979,973
980,-761
981,-655
982,-981
983,-718
984,-973
985,770
986,-303
987,-973
988,773
989,169
990,-593
991,-685
992,-128
993,-718
994,-983
995,-314
996,162
997,-974
998,-102
999,-993
1000,-250
1001,973
