n,a_n
9070,8281
9071,-2137
9072,-5959
9073,-5135
9074,-9053
9075,7963
9076,7314
9077,3305
9078,408
9079,-3591
9080,1440
9081,8293
9082,-6541
9083,-1837
9084,-6715
9085,8977
9086,-9040
9087,9067
9088,3236
9089,1448
9090,2459
9091,6930
9092,-3143
9093,-8971
9094,8945
9095,-7044
9096,-4746
9097,-7382
9098,6156
9099,-9087
9100,-9085
9101,4254
9102,2550
9103,-7523
9104,-8173
9105,9008
9106,-7917
9107,-1685
9108,-8141
9109,8251
9110,8417
9111,-5683
9112,-1284
9113,-7204
9114,2934
9115,-2230
9116,4618
9117,-1279
9118,3310
9119,-8619
9120,9113
9121,6284
9122,6639
9123,-6639
9124,6636
9125,7458
9126,-1279
9127,3313
9128,8963
9129,-333
9130,84
9131,6693
9132,9012
9133,8605
9134,-1617
9135,-7270
9136,-3169
9137,-6967
9138,7940
9139,-8503
9140,-8786
9141,-7859
9142,8719
9143,-8066
9144,9137
9145,8676
9146,-8060
9147,8877
9148,-8314
9149,-8917
9150,-8387
9151,7951
9152,3316
9153,-9141
9154,7872
9155,-6760
9156,5953
9157,2861
9158,7660
9159,6554
9160,5457
9161,-493
9162,-2092
9163,2718
9164,-4574
9165,1454
9166,4846
9167,9127
9168,-5719
9169,-8837
9170,-2714
9171,3028
9172,-4356
9173,-9022
9174,5585
9175,-6263
9176,8925
9177,2399
9178,-8473
9179,1138
9180,6216
9181,8595
9182,-3551
9183,-7727
9184,8893
9185,6892
9186,-5588
9187,-7160
9188,2803
9189,5918
9190,-6332
9191,9126
9192,2947
9193,1704
9194,8746
9195,-1769
9196,2568
9197,-8907
9198,5076
9199,-6684
9200,8888
9201,-3875
9202,9092
9203,2109
9204,-7703
9205,1699
9206,5208
9207,-6344
9208,8305
9209,-9025
9210,-6581
9211,-5478
9212,7428
9213,8814
9214,-8899
9215,-8343
9216,8087
9217,4746
9218,7478
9219,7807
9220,-1310
9221,-409
9222,-5150
9223,7390
9224,7632
9225,-8100
9226,-7630
9227,-7390
9228,-7631
9229,656
9230,5155
9231,3194
9232,7766
9233,-154
9234,569
9235,-3357
9236,-9037
9237,-9037
9238,-9038
9239,-3275
9240,-9183
9241,1147
9242,-2898
9243,-9177
9244,3664
9245,7261
9246,-6500
9247,411
9248,4821
9249,9013
9250,2100
9251,9142
9252,-317
9253,-2745
9254,6324
9255,238
9256,-6381
9257,3817
9258,322
9259,9259
9260,-6153
9261,-9093
9262,-8730
9263,-4329
9264,1064
9265,7795
9266,-6032
9267,-1309
9268,-8013
9269,-8649
9270,1797
9271,87
9272,-7618
9273,-3288
9274,-8794
9275,5846
9276,4477
9277,-2122
9278,9180
9279,2445
9280,6919
9281,8695
9282,-7430
9283,1232
9284,4419
9285,8722
9286,7495
9287,-6913
9288,-9261
9289,3750
9290,-8110
9291,9289
9292,5909
9293,3060
9294,827
9295,-6413
9296,7868
9297,9232
9298,8451
9299,1078
9300,-3911
9301,-2598
9302,-905
9303,-2039
9304,985
9305,-9247
9306,8948
9307,6307
9308,-9011
9309,-7360
9310,-6359
9311,-3763
9312,5474
9313,9079
9314,-1872
9315,3538
9316,5004
9317,4924
9318,-8405
9319,8812
9320,1550
9321,-8671
9322,-1887
9323,-8298
9324,8104
9325,-9006
9326,-7566
9327,-8065
9328,4727
9329,8300
9330,-814
9331,2999
9332,8766
9333,7629
9334,8745
9335,-8678
9336,-7432
9337,7900
9338,8344
9339,-650
9340,-2849
9341,-3850
9342,9340
9343,-423
9344,-8391
9345,-1804
9346,-6201
9347,4516
9348,-9340
9349,418
9350,-1568
9351,3162
9352,9352
9353,4656
9354,1491
9355,8896
9356,-7822
9357,5019
9358,-8923
9359,-7192
9360,7298
9361,-753
9362,7789
9363,-7838
9364,-2533
9365,-7193
9366,8881
9367,2608
9368,4313
9369,3704
9370,-586
9371,-9330
9372,4743
9373,-6753
9374,9274
9375,177
9376,8230
9377,-7747
9378,1567
9379,5709
9380,-6230
9381,2061
9382,1082
9383,9022
9384,-5707
9385,-8975
9386,-4749
9387,8316
9388,-1907
9389,497
9390,5523
9391,755
9392,7994
9393,9172
9394,-9325
9395,-6422
9396,-5182
9397,9382
9398,8776
9399,-9391
9400,6606
9401,6538
9402,-3188
9403,-6178
9404,-9388
9405,-7487
9406,5190
9407,839
9408,-1823
9409,-7227
9410,-9153
9411,9407
9412,8265
9413,4759
9414,4617
9415,-8558
9416,-2794
9417,8492
9418,-2560
9419,-3653
9420,-5868
9421,4479
9422,-7443
9423,5059
9424,8109
9425,-4923
9426,1166
9427,-4264
9428,7136
9429,-9352
9430,-4699
9431,6915
9432,-3277
9433,2955
9434,8918
9435,7843
9436,9436
9437,-9195
9438,-4037
9439,502
9440,-5746
9441,253
9442,9393
9443,-3341
9444,9411
9445,-8841
9446,-5001
9447,3817
9448,329
9449,7204
9450,-3047
9451,3199
9452,7158
9453,9387
9454,-741
9455,3823
9456,2956
9457,2233
9458,5889
9459,9425
9460,2087
9461,7873
9462,1593
9463,-1999
9464,-7680
9465,-8802
9466,6404
9467,9380
9468,-6761
9469,-2728
9470,-8427
9471,-8982
9472,1755
9473,8647
9474,9218
9475,5093
9476,-4364
9477,3049
9478,9445
9479,9294
9480,8726
9481,-9238
9482,-9380
9483,6777
9484,-5236
9485,-8157
9486,-9385
9487,8288
9488,4373
9489,-915
9490,6783
9491,-2821
9492,1424
9493,-7187
9494,7801
9495,-3921
9496,-2733
9497,1756
9498,1420
9499,5
9500,-9108
9501,4743
9502,-6846
9503,4298
9504,2823
9505,9137
9506,9018
9507,9491
9508,-2342
9509,9494
9510,1019
9511,8579
9512,6049
9513,-9424
9514,6680
9515,7873
9516,1602
9517,-2001
9518,-1842
9519,-8142
9520,8055
9521,-411
9522,-4968
9523,8660
9524,9334
9525,-3073
9526,-4750
9527,842
9528,510
9529,8324
9530,-8950
9531,-3692
9532,5603
9533,-9528
9534,-4154
9535,-6933
9536,-4532
9537,-9235
9538,9145
9539,1670
9540,-9257
9541,-9123
9542,1759
9543,-2743
9544,3623
9545,-6464
9546,9404
9547,-8944
9548,-1091
9549,7281
9550,-8939
9551,8789
9552,-8816
9553,-6085
9554,-2505
9555,8723
9556,8916
9557,1527
9558,1771
9559,-7231
9560,7758
9561,-9434
9562,-1928
9563,7713
9564,-3639
9565,-8226
9566,-9242
9567,5130
9568,2093
9569,6162
9570,-9309
9571,4255
9572,9181
9573,9134
9574,-9418
9575,4550
9576,7922
9577,-8519
9578,8058
9579,1761
9580,9490
9581,6539
9582,-9340
9583,429
9584,9442
9585,-9569
9586,2756
9587,-7032
9588,-8610
9589,-8570
9590,2513
9591,-2593
9592,8890
9593,-6230
9594,2108
9595,81
9596,-6041
9597,-2679
9598,-6742
9599,-1356
9600,8834
9601,-1512
9602,7484
9603,6380
9604,5218
9605,1768
9606,6308
9607,-3001
9608,6749
9609,7278
9610,8430
9611,-8596
9612,-5444
9613,-3569
9614,-1440
9615,-8777
9616,5511
9617,5796
9618,2269
9619,6700
9620,8182
9621,9253
9622,-8148
9623,9251
9624,8047
9625,-9453
9626,-506
9627,1944
9628,5793
9629,-928
9630,9076
9631,586
9632,9591
9633,2682
9634,-7663
9635,5871
9636,5727
9637,1184
9638,3576
9639,7355
9640,-4889
9641,-6073
9642,2860
9643,8806
9644,-1117
9645,9517
9646,-8666
9647,-9613
9648,2610
9649,5941
9650,-2374
9651,8345
9652,7739
9653,-9183
9654,1198
9655,-8391
9656,-1864
9657,8305
9658,-9465
9659,-5604
9660,5468
9661,9645
9662,2956
9663,2282
9664,9022
9665,-5878
9666,771
9667,-9340
9668,433
9669,-4966
9670,-7317
9671,2209
9672,-4299
9673,-9322
9674,7544
9675,-8325
9676,2120
9677,5261
9678,8902
9679,-9253
9680,8194
9681,6433
9682,-8048
9683,6676
9684,-1120
9685,-9682
9686,3673
9687,-4460
9688,8461
9689,-6177
9690,-5697
9691,9318
9692,354
9693,8155
9694,-5265
9695,2954
9696,7615
9697,-2118
9698,-5202
9699,4460
9700,-8467
9701,3845
9702,-2951
9703,8389
9704,7882
9705,2455
9706,-9590
9707,-9306
9708,-5499
9709,-9092
9710,-2218
9711,-342
9712,-4083
9713,8524
9714,-7358
9715,-3690
9716,-9524
9717,9387
9718,-762
9719,-9589
9720,-7359
9721,-9561
9722,8807
9723,-8735
9724,-9532
9725,-3854
9726,-6518
9727,-7012
9728,342
9729,4085
9730,7800
9731,5286
9732,9378
9733,-3303
9734,9022
9735,-5920
9736,-9205
9737,-1293
9738,9472
9739,-957
9740,-9028
9741,7853
9742,-8097
9743,8751
9744,-9700
9745,9212
9746,7327
9747,7035
9748,-8064
9749,-4403
9750,9734
9751,9507
9752,5022
9753,9622
9754,6269
9755,-9743
9756,7767
9757,8121
9758,163
9759,-3460
9760,8726
9761,-9511
9762,9618
9763,-9761
9764,696
9765,-9672
9766,-8023
9767,5739
9768,6214
9769,-682
9770,2645
9771,-2138
9772,-9668
9773,9466
9774,-3640
9775,-8738
9776,9216
9777,-9683
9778,-5610
9779,7567
9780,8700
9781,-7842
9782,-5396
9783,9304
9784,-9636
9785,6562
9786,6929
9787,-9555
9788,9672
9789,8039
9790,3222
9791,-9362
9792,-524
9793,-5897
9794,2236
9795,-7118
9796,7355
9797,-4968
9798,8910
9799,4206
9800,5471
9801,-9767
9802,-2061
9803,-1123
9804,9734
9805,9559
9806,7471
9807,2833
9808,-6439
9809,9355
9810,-6034
9811,-8254
9812,8441
9813,4349
9814,8445
9815,3816
9816,8440
9817,9756
9818,-9590
9819,-9414
9820,-9589
9821,-7435
9822,-8965
9823,8780
9824,6705
9825,7327
9826,7092
9827,-9723
9828,-2236
9829,7149
9830,-9372
9831,5783
9832,6120
9833,1740
9834,-4206
9835,-5495
9836,3411
9837,-6842
9838,3733
9839,6978
9840,-4915
9841,-9838
9842,9791
9843,9591
9844,2740
9845,4990
9846,8992
9847,6800
9848,9846
9849,2427
9850,9780
9851,-2172
9852,9030
9853,8610
9854,8805
9855,7620
9856,-9833
9857,1817
9858,9037
9859,9645
9860,3017
9861,8657
9862,-9291
9863,9531
9864,-5502
9865,8659
9866,6875
9867,9181
9868,9415
9869,3411
9870,-6865
9871,5734
9872,-5522
9873,7857
9874,1211
9875,-9840
9876,-5005
9877,4231
9878,6551
9879,-6945
9880,-8626
9881,7183
9882,9572
9883,4143
9884,6813
9885,8873
9886,8994
9887,3663
9888,-954
9889,8551
9890,-3986
9891,-6230
9892,2173
9893,-8226
9894,-9559
9895,-7542
9896,-8130
9897,4235
9898,1317
9899,-6170
9900,873
9901,-3510
9902,7379
9903,5599
9904,6245
9905,-4625
9906,-5389
9907,9116
9908,-7770
9909,7386
9910,-1146
9911,-6244
9912,9877
9913,-1647
9914,-7147
9915,-1222
9916,-791
9917,6249
9918,-3609
9919,-6315
9920,-3848
9921,-4327
9922,8489
9923,4019
9924,-7794
9925,-2854
9926,-9832
9927,9199
9928,4022
9929,6853
9930,-9206
9931,-8995
9932,5771
9933,1045
9934,9068
9935,9724
9936,-6924
9937,701
9938,-4099
9939,-6980
9940,5769
9941,8554
9942,5252
9943,-6723
9944,86
9945,-9184
9946,8972
9947,-3766
9948,-6924
9949,702
9950,-9844
9951,9789
9952,-2000
9953,-9257
9954,-9518
9955,8515
9956,9550
9957,-4253
9958,6542
9959,9299
9960,-1132
9961,-8520
9962,-4
9963,7538
9964,-9651
9965,-269
9966,9205
9967,1331
9968,-8570
9969,2612
9970,-9698
9971,-964
9972,-4509
9973,7253
9974,8038
9975,9700
9976,-9427
9977,-7936
9978,-3295
9979,-5053
9980,-9664
9981,-4437
9982,-8760
9983,-9439
9984,-9948
9985,-9877
9986,1667
9987,9255
9988,-1311
9989,8158
9990,6556
9991,4822
9992,3374
9993,-700
9994,-5439
9995,7847
9996,-6425
9997,4283
9998,-8464
9999,-5218
10000,-1846
10001,9513
10002,2550
10003,-8267
10004,9953
10005,4215
10006,-8510
10007,-5440
10008,9462
10009,-4593
10010,88
10011,358
10012,-1409
10013,-10012
10014,-2536
10015,6712
10016,10016
10017,5681
10018,8435
10019,1754
10020,8386
10021,-8882
10022,6588
10023,-806
10024,-9859
10025,-6318
10026,2548
10027,-1683
10028,7818
10029,9921
10030,-1491
10031,-9540
10032,-8533
10033,-4219
10034,-1591
10035,-9799
10036,3650
10037,-5077
10038,-1855
10039,-9977
10040,6458
10041,-9012
10042,-9463
10043,-5012
10044,9206
10045,9102
10046,-7251
10047,-2033
10048,3814
10049,1072
10050,-6605
10051,-9852
10052,351
10053,-7605
10054,-7185
10055,1774
10056,8460
10057,3056
10058,6997
10059,-6273
10060,-6936
10061,5984
10062,6738
10063,6605
10064,9867
10065,6804
10066,-6402
10067,5400
10068,3898
10069,6611
10070,8926
10071,-6757
10072,-5402
10073,10069
10074,-1960
10075,3494
10076,5261
10077,9269
10078,9717
10079,-546
10080,5999
10081,-9997
10082,-4402
10083,5928
10084,1856
10085,6349
10086,1592
10087,7146
10088,9094
10089,7968
10090,8036
10091,-1942
10092,-4797
10093,-2126
10094,-7640
10095,3497
10096,-4002
10097,3833
10098,2570
10099,1784
10100,-4158
10101,10049
10102,8244
10103,4496
10104,-3759
10105,-10069
10106,1961
10107,6089
10108,5656
10109,9158
10110,-2576
10111,1073
10112,-10003
10113,-1697
10114,-5196
10115,1956
10116,9472
10117,-994
10118,-9622
10119,-6508
10120,9937
10121,-1439
10122,-1515
10123,-6915
10124,3512
10125,-2994
10126,627
10127,-9805
10128,901
10129,6023
10130,-5442
10131,-6988
10132,-9018
10133,-10115
10134,8116
10135,-9669
10136,7429
10137,7724
10138,9359
10139,-1972
10140,8071
10141,-2496
10142,-10141
10143,623
10144,8339
10145,9504
10146,-6399
10147,-4179
10148,-6392
10149,-9227
10150,1438
10151,-7620
10152,10130
10153,10132
10154,-3614
10155,-9342
10156,9037
10157,9936
10158,7680
10159,9446
10160,7064
10161,10077
10162,-9573
10163,5458
10164,-8835
10165,-7577
10166,5068
10167,-5835
10168,8881
10169,2831
10170,-4196
10171,9358
10172,7327
10173,7342
10174,-998
10175,8707
10176,-10146
10177,9918
10178,79
10179,-4523
10180,7935
10181,-6264
10182,3358
10183,3609
10184,6480
10185,9102
10186,-7352
10187,-6348
10188,-9336
10189,7406
10190,-9721
10191,-8058
10192,-1879
10193,-3276
10194,-6421
10195,4117
10196,10180
10197,9645
10198,3120
10199,-3960
10200,-10197
10201,5845
10202,10179
10203,2427
10204,10131
10205,6062
10206,-9758
10207,-2156
10208,-7783
10209,9765
10210,8187
10211,101
10212,4619
10213,7734
10214,-5774
10215,2504
10216,-1536
10217,-2419
10218,273
10219,3198
10220,-1436
10221,2941
10222,4626
10223,10223
10224,2607
10225,-5094
10226,10183
10227,-9107
10228,-4699
10229,7500
10230,-8709
10231,-4948
10232,-89
10233,-8799
10234,-5789
10235,-8358
10236,-10016
10237,-5799
10238,3801
10239,-3286
10240,1086
10241,-8565
10242,-8717
10243,-8148
10244,9848
10245,7979
10246,-6160
10247,-6310
10248,-10185
10249,448
10250,9719
10251,-9076
10252,-629
10253,-6456
10254,275
10255,-10191
10256,3294
10257,10249
10258,9256
10259,7831
10260,8579
10261,6526
10262,-8116
10263,9790
10264,7346
10265,8390
10266,9545
10267,7658
10268,-9579
10269,2875
10270,-4402
10271,6038
10272,-1441
10273,-8596
10274,-5819
10275,-7153
10276,-4065
10277,2255
10278,-6327
10279,1718
10280,4480
10281,916
10282,-10020
10283,10221
10284,-10133
10285,10065
10286,-6327
10287,1720
10288,-10285
10289,5593
10290,8462
10291,-10216
10292,4566
10293,-9819
10294,10283
10295,-5534
10296,10260
10297,-4398
10298,2348
10299,-9708
10300,-4741
10301,3401
10302,10040
10303,-5206
10304,3829
10305,5829
10306,-10046
10307,7491
10308,10225
10309,7971
10310,-7248
10311,3492
10312,-10237
10313,-10238
10314,-4493
10315,-5145
10316,8264
10317,10309
10318,-10222
10319,6980
10320,-5984
10321,-6915
10322,3581
10323,-4165
10324,7054
10325,-9315
10326,1824
10327,9848
10328,8043
10329,5161
10330,6140
10331,10029
10332,8893
10333,7753
10334,-4498
10335,7128
10336,2792
10337,7938
10338,7448
10339,6786
10340,1650
10341,-6374
10342,-2975
10343,-914
10344,-2093
10345,-6656
10346,-8896
10347,8655
10348,904
10349,-7266
10350,-4999
10351,6871
10352,-3424
10353,3417
10354,-8994
10355,-3841
10356,-9527
10357,-10282
10358,-4346
10359,9567
10360,-7787
10361,-8765
10362,454
10363,10355
10364,3171
10365,-9388
10366,-8252
10367,-8517
10368,1468
10369,-7968
10370,-8254
10371,8922
10372,-1270
10373,-7414
10374,1643
10375,547
10376,3687
10377,-9778
10378,-10155
10379,-10175
10380,-6021
10381,-10283
10382,5576
10383,3332
10384,9786
10385,632
10386,-5341
10387,-2991
10388,-2099
10389,-4196
10390,9559
10391,7917
10392,1931
10393,9163
10394,8887
10395,5569
10396,8984
10397,-8485
10398,-4448
10399,4945
10400,1384
10401,10315
10402,-9501
10403,-7630
10404,-8332
10405,-4951
10406,1559
10407,7248
10408,-3530
10409,9503
10410,3250
10411,10409
10412,-8180
10413,6769
10414,9427
10415,8282
10416,7192
10417,-8125
10418,-7765
10419,8864
10420,-10419
10421,-10376
10422,-6560
10423,-3615
10424,-8618
10425,5982
10426,4136
10427,10382
10428,8563
10429,-8668
10430,3533
10431,10027
10432,-8566
10433,-9406
10434,-743
10435,-10434
10436,7269
10437,-6275
10438,9870
10439,-8071
10440,2565
10441,10378
10442,-10114
10443,9782
10444,-8304
10445,7274
10446,-9785
10447,-9120
10448,-457
10449,10395
10450,5281
10451,178
10452,9171
10453,-6664
10454,6588
10455,-840
10456,9725
10457,-10248
10458,-1298
10459,5215
10460,-454
10461,-10452
10462,-826
10463,-2478
10464,-6875
10465,-9734
10466,-10201
10467,2573
10468,-375
10469,9557
10470,2848
10471,10359
10472,-9639
10473,-5856
10474,-742
10475,-5774
10476,2568
10477,-10146
10478,10212
10479,10145
10480,-7500
10481,8921
10482,-9447
10483,2396
10484,9015
10485,-10275
10486,-9570
10487,-6823
10488,5389
10489,-9653
10490,-9416
10491,6320
10492,-8114
10493,-7029
10494,9982
10495,-9623
10496,3116
10497,-4656
10498,-1666
10499,-8574
10500,5871
10501,6241
10502,10234
10503,-10143
10504,-9801
10505,7309
10506,10469
10507,9844
10508,-10337
10509,-9634
10510,-10022
10511,-3297
10512,10458
10513,3720
10514,3651
10515,4759
10516,5158
10517,-4994
10518,9525
10519,-3195
10520,0
10521,4
10522,-7965
10523,9192
10524,-3108
10525,8650
10526,-9794
10527,10490
10528,-2322
10529,3736
10530,-6344
10531,9498
10532,-8662
10533,6195
10534,-2303
10535,2220
10536,9417
10537,-10506
10538,-5179
10539,-10501
10540,-10271
10541,9549
10542,-10453
10543,8395
10544,6505
10545,9967
10546,10083
10547,-10528
10548,5266
10549,6724
10550,8832
10551,-8782
10552,10008
10553,-9470
10554,-9979
10555,-10174
10556,-10543
10557,1945
10558,-3664
10559,-8288
10560,-4860
10561,-465
10562,-464
10563,8629
10564,8622
10565,10512
10566,2422
10567,1764
10568,-10567
10569,10234
10570,-10208
10571,8691
10572,10327
10573,-5840
10574,-2318
10575,5030
10576,-3230
10577,-4528
10578,8694
10579,-9910
10580,-10454
10581,9939
10582,-8897
10583,-98
10584,6067
10585,-5843
10586,3756
10587,-10317
10588,-99
10589,10581
10590,1229
10591,-6304
10592,-9780
10593,2331
10594,-650
10595,-3231
10596,-10508
10597,-6223
10598,-5037
10599,9069
10600,7438
10601,-10189
10602,7714
10603,-10430
10604,931
10605,9398
10606,-10576
10607,-10450
10608,-9267
10609,6824
10610,4721
10611,7711
10612,10604
10613,-9576
10614,-4379
10615,3942
10616,6827
10617,-3334
10618,7391
10619,9766
10620,9941
10621,8944
10622,1209
10623,5213
10624,-9458
10625,-10332
10626,-6833
10627,380
10628,1404
10629,3056
10630,7396
10631,6777
10632,-5870
10633,-10609
10634,-1680
10635,-7267
10636,5061
10637,1120
10638,10636
10639,-10537
10640,-1040
10641,1407
10642,-4467
10643,3600
10644,-2786
10645,-5948
10646,8751
10647,-10600
10648,-2800
10649,7935
10650,-6552
10651,10421
10652,-3526
10653,-9647
10654,-7871
10655,10295
10656,-12
10657,5721
10658,-1698
10659,-10653
10660,-1497
10661,-10655
10662,10223
10663,2719
10664,-10651
10665,-8977
10666,10612
10667,-3149
10668,-9620
10669,-4573
10670,9779
10671,7487
10672,-5893
10673,6272
10674,10484
10675,-5170
10676,9323
10677,-10121
10678,9998
10679,10605
10680,-9080
10681,-7639
10682,10432
10683,10065
10684,-6572
10685,2250
10686,6209
10687,10011
10688,10162
10689,9283
10690,4222
10691,-3161
10692,-5656
10693,-9684
10694,-10685
10695,4586
10696,-7092
10697,10584
10698,272
10699,10360
10700,-8840
10701,4578
10702,-6892
10703,6517
10704,10414
10705,3965
10706,3270
10707,4147
10708,1048
10709,-10294
10710,-9008
10711,9310
10712,-10647
10713,1519
10714,-10705
10715,10713
10716,1807
10717,-5913
10718,-5347
10719,-96
10720,-10544
10721,-7800
10722,-5829
10723,10452
10724,841
10725,-8702
10726,2257
10727,10435
10728,-10513
10729,-10114
10730,10051
10731,-9283
10732,-4244
10733,-3089
10734,7805
10735,10297
10736,-9756
10737,10487
10738,3824
10739,-6769
10740,-9724
10741,7481
10742,-8197
10743,5928
10744,1977
10745,-8667
10746,-6541
10747,-2175
10748,-9144
10749,-9924
10750,-3089
10751,7818
10752,10637
10753,-4506
10754,-8783
10755,8381
10756,-7479
10757,-9739
10758,-671
10759,10371
10760,-6101
10761,-288
10762,9209
10763,-9011
10764,-8511
10765,4441
10766,-10079
10767,-7498
10768,-8954
10769,-4787
10770,7632
10771,-9457
10772,-7770
10773,8030
10774,963
10775,10719
10776,-1224
10777,10126
10778,-6498
10779,-9991
10780,-7229
10781,2090
10782,-8037
10783,-7777
10784,10784
10785,9549
10786,-10695
10787,-9182
10788,-8284
10789,-4003
10790,-6187
10791,10073
10792,9384
10793,-679
10794,-4358
10795,6191
10796,9516
10797,-1251
10798,-6498
10799,-10009
10800,1234
10801,6499
10802,8818
10803,4702
10804,8875
10805,-11
10806,10806
10807,-9523
10808,7993
10809,7668
10810,6346
10811,-182
10812,2283
10813,8717
10814,8600
10815,-10750
10816,5472
10817,-6581
10818,-6433
10819,8998
10820,4987
10821,-10405
10822,-485
10823,-10065
10824,6664
10825,-6825
10826,-10760
10827,486
10828,8787
10829,373
10830,8131
10831,5740
10832,-3309
10833,8504
10834,3109
10835,-10003
10836,-1819
10837,191
10838,6446
10839,-5645
10840,-4639
10841,-9816
10842,-10794
10843,5319
10844,-3037
10845,-8630
10846,485
10847,10091
10848,2205
10849,-4202
10850,10773
10851,-5001
10852,4384
10853,-10806
10854,9568
10855,-10432
10856,-10229
10857,282
10858,-7345
10859,477
10860,-5413
10861,387
10862,-5992
10863,9037
10864,10628
10865,84
10866,7965
10867,-9495
10868,-9718
10869,9448
10870,-10249
10871,-9806
10872,9635
10873,2842
10874,9886
10875,6067
10876,-6004
10877,4397
10878,-10250
10879,-9253
10880,9210
10881,-9928
10882,-5844
10883,-6476
10884,10052
10885,-9681
10886,10707
10887,4761
10888,-10850
10889,9507
10890,5608
10891,-2772
10892,-9780
10893,2397
10894,381
10895,-8310
10896,5101
10897,-8839
10898,10808
10899,8682
10900,-10662
10901,5844
10902,6493
10903,6786
10904,1739
10905,-10814
10906,-6493
10907,-6792
10908,1345
10909,4235
10910,1451
10911,-4404
10912,5358
10913,-10911
10914,2684
10915,9628
10916,9073
10917,881
10918,10664
10919,10819
10920,-6563
10921,2305
10922,-8746
10923,2109
10924,-9142
10925,382
10926,-10448
10927,8808
10928,-9343
10929,1057
10930,10815
10931,10907
10932,-6257
10933,9500
10934,-1913
10935,-2495
10936,-5948
10937,8990
10938,-10337
10939,-10028
10940,-393
10941,3240
10942,-9313
10943,-10598
10944,10799
10945,-10670
10946,-9995
10947,10945
10948,-3324
10949,-2118
10950,-5874
10951,7691
10952,4078
10953,2316
10954,-6598
10955,-6674
10956,-10420
10957,-6744
10958,-9219
10959,-10958
10960,-1361
10961,6978
10962,-5475
10963,-7835
10964,1448
10965,2967
10966,10668
10967,-8227
10968,-8104
10969,10597
10970,-4355
10971,-7496
10972,-1744
10973,4433
10974,-2320
10975,-10950
10976,10974
10977,-4447
10978,10947
10979,10900
10980,-10653
10981,-1542
10982,-5478
10983,8856
10984,1635
10985,10769
10986,-4068
10987,-3898
10988,-7218
10989,10791
10990,3980
10991,4256
10992,8315
10993,7852
10994,-10080
10995,-10776
10996,-3634
10997,-8062
10998,-6855
10999,-489
11000,9747
11001,10762
11002,-9785
11003,-9606
11004,9204
11005,-8384
11006,-8696
11007,-783
11008,7449
11009,-3085
11010,488
11011,-9569
11012,3165
11013,-10882
11014,5060
11015,9844
11016,-10837
11017,10986
11018,1639
11019,-8706
11020,6639
11021,-8020
11022,-5151
11023,10322
11024,-10539
11025,-9528
11026,-4803
11027,-5242
11028,-10678
11029,-2981
11030,-4006
11031,4987
11032,-10608
11033,-10109
11034,6638
11035,2030
11036,5593
11037,9076
11038,672
11039,-3267
11040,2803
11041,7110
11042,-6015
11043,-10080
11044,-10824
11045,10346
11046,-7412
11047,9191
11048,-10644
11049,-3093
11050,-10992
11051,-4636
11052,9247
11053,-10629
11054,9253
11055,-9361
11056,8970
11057,-7563
11058,10251
11059,183
11060,7841
11061,-4459
11062,9755
11063,-3846
11064,-7045
11065,-11062
11066,4834
11067,8743
11068,577
11069,-9616
11070,-4467
11071,3745
11072,2437
11073,-8503
11074,-10645
11075,-10622
11076,3008
11077,-11046
11078,-1764
11079,11079
11080,10914
11081,1188
11082,5101
11083,-8990
11084,10478
11085,-7864
11086,6199
11087,-6603
11088,6515
11089,-6824
11090,-4928
11091,-10164
11092,9007
11093,-600
11094,-493
11095,-2532
11096,1372
11097,8523
11098,1556
11099,-8775
11100,5626
11101,6197
11102,10861
11103,-5463
11104,-2530
11105,9449
11106,-8771
11107,3568
11108,-8337
11109,7870
11110,-3396
11111,-687
11112,-9404
11113,10409
11114,-8732
11115,11097
11116,8674
11117,-699
11118,-11117
11119,-9892
11120,-8538
11121,8349
11122,-10859
11123,-11083
11124,5712
11125,6142
11126,-2064
11127,-296
11128,-7083
11129,-10698
11130,8556
11131,-11040
11132,-4773
11133,8861
11134,11028
11135,9430
11136,-9719
11137,9864
11138,-6294
11139,10957
11140,-8549
11141,7398
11142,4851
11143,4146
11144,-8743
11145,-586
11146,-11098
11147,-10568
11148,3486
11149,-10254
11150,1763
11151,-5987
11152,8566
11153,10053
11154,-1071
11155,-3118
11156,-11150
11157,5226
11158,-11149
11159,-5472
11160,6796
11161,-7487
11162,6159
11163,11116
11164,9659
11165,10998
11166,7326
11167,-2150
11168,-10195
11169,5662
11170,8395
11171,6891
11172,-11133
11173,8052
11174,-1096
11175,-4517
11176,6408
11177,-8387
11178,9711
11179,-3700
11180,7993
11181,7932
11182,5568
11183,9957
11184,-10755
11185,10858
11186,6824
11187,4977
11188,7357
11189,-6407
11190,10759
11191,9133
11192,-4259
11193,9419
11194,5421
11195,-11009
11196,-8477
11197,-9316
11198,10344
11199,10678
11200,3022
11201,-2355
11202,10420
11203,6892
11204,-6816
11205,10656
11206,-3118
11207,-11201
11208,10533
11209,7722
11210,-386
11211,-4532
11212,-10856
11213,10928
11214,11210
11215,8028
11216,-10574
11217,6345
11218,-9540
11219,-9543
11220,10281
11221,11114
11222,-9157
11223,-7591
11224,-8874
11225,-9442
11226,11208
11227,-10473
11228,9851
11229,-9651
11230,-304
11231,-7529
11232,-11064
11233,7147
11234,1379
11235,1778
11236,-1580
11237,-2467
11238,8440
11239,11170
11240,-11214
11241,11201
11242,-10566
11243,8249
11244,-8236
11245,10694
11246,213
11247,-6608
